member_id,score,constituency,date_of_birth,days_service,first_start_date,gender,list_name,party,maj_score
67,0.9805719418743272,Hertsmere,1956-09-14,4693,1992-04-09,M,"Clappison, Mr James",Conservative,0.9919606559852995
366,0.9410622221818744,Rushcliffe,1940-07-02,12518,1970-06-18,M,"Clarke, Mr Kenneth",Conservative,0.9583845721591973
249,0.9672581853882656,Cotswold,1953-03-23,4693,1992-04-09,M,"Clifton-Brown, Sir Geoffrey",Conservative,0.9866475917978064
498,0.9813664378471457,Westmorland and Lonsdale,1964-05-07,2868,1997-05-01,M,"Collins, Mr Tim",Conservative,0.9957387311258867
1202,0.9645265251584141,Old Bexley and Sidcup,1953-02-15,6398,1983-06-09,M,"Conway, Derek",Conservative,0.9804818256316234
282,0.9645339894663356,South Staffordshire,1939-05-18,12518,1970-06-18,M,"Cormack, L.",Conservative,0.9763755865650595
368,0.9934099895706557,Beverley and Holderness,1944-01-28,6433,1987-06-11,M,"Cran, Mr James",Conservative,0.9901653226582497
383,0.9560025587636012,Skipton and Ripon,1944-06-13,6433,1987-06-11,M,"Curry, Mr David",Conservative,0.9578947745527238
346,0.9770572548460349,Grantham and Stamford,1944-05-29,6433,1987-06-11,M,"Davies of Stamford, L.",Conservative,0.992371711140138
373,0.9754196449174258,Haltemprice and Howden,1948-12-23,6433,1987-06-11,M,"Davis, Mr David",Conservative,0.9954182457230982
4154,0.9726081908458584,Suffolk Coastal,1939-11-26,10674,1970-06-18,M,"Deben, L.",Conservative,0.9879308715955407
99,0.9785548463538127,East Surrey,1956-11-16,4693,1992-04-09,M,"Ainsworth, Mr Peter",Conservative,0.9930924943394951
44,0.9463869156377095,Southend West,1952-03-26,7872,1983-06-09,M,"Amess, Sir David",Conservative,0.963053688557778
56,0.9706484509803256,North East Hampshire,1952-08-04,6433,1987-06-11,M,"Arbuthnot of Edrom, L.",Conservative,0.9860408787659881
240,0.960631764214694,Bournemouth East,1940-03-24,9842,1977-11-24,M,"Atkinson, Mr David",Conservative,0.9809292778503451
515,0.9583958784533605,Hexham,1943-01-19,4693,1992-04-09,M,"Atkinson, Mr Peter",Conservative,0.9821696500226804
1451,0.9592533740732658,South Norfolk,1962-12-03,1394,2001-06-07,M,"Bacon, Mr Richard",Conservative,0.9821361343272343
93,0.9743026239142447,Banbury,1950-07-10,7872,1983-06-09,M,"Baldry, Sir Tony",Conservative,0.9879937971868049
1389,0.9676939513594361,Bexhill and Battle,1966-03-08,1394,2001-06-07,M,"Barker of Battle, L.",Conservative,0.994072613385918
1390,0.9740840099270786,Billericay,1959-06-21,1394,2001-06-07,M,"Baron, Mr John",Conservative,0.991365617924369
1441,0.9806912069594665,North West Norfolk,1955-03-29,6398,1983-06-09,M,"Bellingham, Sir Henry",Conservative,0.9940885901692443
17,0.9496634499497939,Buckingham,1963-01-19,2868,1997-05-01,M,"Bercow, John",Conservative,0.9738220193303809
103,0.9833645160451456,Mole Valley,1946-04-06,4693,1992-04-09,M,"Beresford, Sir Paul",Conservative,0.9905332386451353
497,0.9688041407516541,Penrith and The Border,1953-05-16,7823,1983-07-28,M,"Blencathra, L.",Conservative,0.9899529245219423
